Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
200,0,0,BondageNotConfronted,妳現在想|被綁起來嗎?,什麼?  不!  課程就要開始了!|請把那些繩子收起來.,200,-1,0,ConfrontBondage()
200,0,0,BondageNotConfronted,"承認吧, 你會喜歡|被綁起來的.",我的天啊!  (她臉紅了.)|不... 是... 不... 真的快要上課了.,200,-1,1,ConfrontBondage()
200,0,0,StopRopeSubAllowed,"我喜歡緊縛,|你可以把我綁起來嗎?","喔!  你是個M 或許放學後.|(她眨眼.) 我們剛剛在談論什麼來著，新來的朋友?",200,0,-2,StopRopeSub()
200,0,0,,我們待會會用到.|(藏起繩子.),待會? (她好奇地看著你.)|我們剛剛在談論什麼來著，新來的朋友?,200,0,0,StopRope()
200,0,2,,(抓住她並|脫下她的制服.)ADD_MINUTES:1,喔我的老天 不!  不要再來了!|(她常是防衛自己但失敗了.),220,0,0,Strip()
200,0,4,,"好女孩, 現在脫掉|你的制服.ADD_MINUTES:1",不... Errr... 是的女士...|(她順從的脫掉上衣和裙子.),220,0,0,
220,0,0,,(綁她.)ADD_MINUTES:1,(妳把繩子纏繞在她身上並|把她的手綁在身後.  她小聲的呻吟著.),230,0,0,Tie()
220,0,0,,穿上你的衣服.ADD_MINUTES:1,我的天 是!  這真是尷尬.,200,0,0,
230,0,0,,(把她轉過去.),什麼?  我的老天!  你在幹嘛?|(你強迫她轉身.),240,0,0,
230,0,0,,(放開她.)ADD_MINUTES:1,(你慢慢的鬆綁她) 太謝謝你了!|我可以把衣服穿回去了吧?,220,0,0,Untie()
230,0,0,,(搔癢她.)ADD_MINUTES:1,(她臉紅著不停大笑.)|嘿!  Haaahahahaha!  你太有趣了.,230,0,0,Tickle()
230,1,0,,(親吻她.)ADD_MINUTES:1,另一個親吻?|(她臉紅著對你微笑.),230,0,0,Kiss()
230,0,0,SidneyInBondage,(讓她抱著 Sidney.)ADD_MINUTES:1,(兩個女孩被迫抱著彼此並互相磨蹭.)|天啊!  這不合適吧.,250,0,0,
230,0,0,,你被綁著看起來|就像天使.,(她對你傻笑著.),230,0,0,
230,0,0,,"如果我放開你, 我待會可以|再把你綁起來嗎?ADD_MINUTES:1",喔!  可以!  當然可以!|(你放開她並互相握了手.),300,1,1,Untie()
230,0,0,,"如果我放開你, 你待會可以|把我綁起來嗎?ADD_MINUTES:1","Hehehe, 好吧.|(你放開她並互相握了手.)",300,1,-2,Untie()
240,0,0,,(把她轉過去.),(你強迫她轉身.)|喔!  實際上我更寧願看著你.,230,0,0,
240,0,0,,(放開她.)ADD_MINUTES:1,(你慢慢的鬆綁她) 太謝謝你了!|我可以把衣服穿回去了吧?,220,0,0,Untie()
240,0,0,,(搔癢她.)ADD_MINUTES:1,(她臉紅著不停大笑.)|嘿!  Haaahahahaha!  你太有趣了.,240,0,0,Tickle()
240,0,0,,(打她屁股.)ADD_MINUTES:1,(你再次打了她的屁股但她看起來更能接受了.)|停下!,240,0,0,Spank()
240,0,0,,你有個漂亮的|屁股你知道嗎?,真的?  (她臉紅了.),240,0,0,
240,0,0,,"如果我放開你, 我待會可以|再把你綁起來嗎?ADD_MINUTES:1",喔!  可以!  當然可以!|(你放開她並互相握了手.),300,1,1,Untie()
240,0,0,,"如果我放開你, 你待會可以|把我綁起來嗎?ADD_MINUTES:1","Hehehe, 好吧.|(你放開她並互相握了手.)",300,1,-2,Untie()
250,0,0,,(分開他們.),謝謝你.  剛剛那真是太尷尬了.,230,0,0,
250,0,0,,(強迫他們接吻.)ADD_MINUTES:1,另一個親吻?  這太噁心了!|(你把他們推在一起讓他們接吻.),260,0,0,ForceKiss()
250,0,0,,你們真是對|漂亮的緊縛夥伴.,(他們都盯著你.),250,0,0,
260,0,0,,(分開他們.),謝謝你.  剛剛那真是太尷尬了.,230,0,0,
260,0,0,,(停止接吻.),"無意冒犯 Sidney,|但你真的不是我的菜.",250,0,0,
260,0,0,,空氣中瀰漫著愛情的味道!,嘿!  這不好笑.|(她對你吐舌頭.),260,0,0,
260,2,0,,我也可以親一下嗎?,"Hehehe, 好.|(她轉過頭親你.)",260,0,0,
