PlayerGagged,,,Pacified big babies sound adorable when they try to talk.,,
100,,I woshth my binky.,"Awww never mind, here have another one.  (She puts a pacifier in your mouth.)","DialogWearItem(""PacifierGag"", ""ItemMouth"")",Player.CanTalk()
100,,(Cry and mumble into your pacifier.),"I'm sorry, I didin't understand that.  Try again now.  (She removes the device from your mouth.)","DialogRemoveItem(""ItemMouth"")",!Player.CanTalk()
100,,Do I really have to wear this diaper?,Oh course you do. You are a baby in the nursery now.  (She reaches between you legs and checks the diaper.),,
100,110,Can I have some restriants please?,DialogPlayerName have you been a bad baby?  We don't tolerate inappropriate behavior from any of our babies here.,,!Player.IsRestrained()
100,0,I would like to leave the nursery now.,It's been lovely having you here.  (she helps you change and disposes of the diaper.),PlayerRedressed(),
100,,(Leave her.),,DialogLeave(),
110,100,I've been a good girl honest.  My hands are cold.,Aww you poor thing.  Slip you hands in these and they will soon warm up.  (She fastens mittens over your hands.),"DialogWearItem(""PaddedMittens"", ""ItemArms"")",
110,120,Maybe.  (Bow your head and avoid her gaze.),"Come here.  (She fastens mittens over your hands and a harness round you chest, connected them with short chains.)  Now what did you do?",PlayerRestrained(2),
110,100,They are not for me.,"I know bondage items look fun, but they are not suitable toys for ickle babies to play with.",,
120,100,Nothing wrong.  I just like being bound.,(She puts a pacifier in your mouth.)  I suppose you like to be gagged as well.  Run along now before change my mind and get the hair brush.,"DialogWearItem(""PacifierGag"", ""ItemMouth"")",
120,100,I'm not telling you.,"You had better not tell anyone then.  (She staps a pacifier in your mouth, checks the mitten buckles are tight and padlocks them.)",PlayerRestrained(3),
